,nmi_score,ami_score,mi_score,ar_score,cs_score,fm_score,hs_score,vm_score
mod vs. wt,0.38496032446,0.184582090738,1.00160314488,0.0884315746812,0.222526855831,0.233443074147,0.665962096372,0.33358760633
km_10 vs. km_100,0.454223488145,0.311113127787,1.37655414138,0.103153437226,0.313663589633,0.218541316165,0.657771523382,0.424771504382
km_10 vs. km_1000,0.404012613674,0.204428478405,1.51359427849,0.0110068891941,0.225682872538,0.070259897521,0.723254672241,0.344018830124
km_10 vs. gmm_10,0.456354374437,0.445124825308,0.978323259357,0.311403625913,0.445492386559,0.404924802019,0.467481199122,0.456221994447
km_10 vs. gmm_100,0.449239287575,0.307337527367,1.36286717482,0.0969500195635,0.309898987771,0.211639122753,0.651231354296,0.419955397656
km_10 vs. gmm_1000,0.403643681056,0.204352326122,1.51148834658,0.01102431038,0.225584752834,0.0700535509263,0.722248375434,0.343790940405
km_10 vs. hc_10,0.384092732185,0.366202497039,0.767294251109,0.272394015123,0.40237266016,0.400727882303,0.366643267608,0.383677948896
km_10 vs. hc_100,0.362381898278,0.248962147538,1.0914781929,0.0710484349004,0.251788654816,0.163127639345,0.521551061526,0.339619542161
km_10 vs. hc_1000,0.387812347473,0.194600603393,1.45622396748,0.0100125653064,0.216139090462,0.0660340717868,0.695840888987,0.329828330098
km_100 vs. km_1000,0.645514552762,0.416340500144,3.50208006183,0.101240321449,0.522173940167,0.184871524042,0.797988956888,0.631269124072
km_100 vs. gmm_10,0.431599039121,0.30272009478,1.33988063346,0.0863071898482,0.610132300746,0.172075285923,0.305307111822,0.406968998741
km_100 vs. gmm_100,0.793308890687,0.783038100547,3.48516707815,0.551410800318,0.792483500728,0.55869675072,0.794135140308,0.793308460855
km_100 vs. gmm_1000,0.64828665497,0.419652610301,3.51543608666,0.104796522465,0.524667479247,0.190073398459,0.801032279751,0.634043393551
km_100 vs. hc_10,0.406559385053,0.265251715939,1.1761299933,0.0609397838325,0.616768017504,0.169017784881,0.267994657446,0.373638125238
km_100 vs. hc_100,0.582283460325,0.559663273646,2.53973557022,0.254674891595,0.585881245244,0.267708525366,0.578707768716,0.582272413879
km_100 vs. hc_1000,0.614603489624,0.383100876993,3.34200460401,0.0832976018504,0.496034848735,0.155580057467,0.7615139348,0.600751961918
km_1000 vs. gmm_10,0.426998899158,0.224012312774,1.63871428606,0.012992001,0.746210141897,0.0710133750527,0.24433875881,0.368135404021
km_1000 vs. gmm_100,0.652094552581,0.423732486849,3.54146290676,0.107501592054,0.805284469614,0.190283739275,0.528046077567,0.637842291103
km_1000 vs. gmm_1000,0.822434440278,0.658266944549,5.51320646908,0.403093357988,0.822828254985,0.404012147201,0.822040814055,0.822434346036
km_1000 vs. hc_10,0.42211637566,0.204298919193,1.50957390139,0.00815951645093,0.791627547753,0.0643748509531,0.225083418467,0.350507155958
km_1000 vs. hc_100,0.655389113872,0.425062314283,3.53381747793,0.0845134639325,0.815201948075,0.162669382281,0.526906113995,0.64008987461
km_1000 vs. hc_1000,0.788827595235,0.588682659666,5.30255229968,0.317395861808,0.787027858884,0.318478350478,0.790631447134,0.788825537466
gmm_10 vs. gmm_100,0.438893390833,0.307578473385,1.36394473635,0.093628795748,0.310144011813,0.185626304115,0.621090207064,0.413703458511
gmm_10 vs. gmm_1000,0.425898442598,0.223501334964,1.63370872532,0.0129473593394,0.243825749525,0.0704941026152,0.74393079386,0.367275690801
gmm_10 vs. hc_10,0.392534405967,0.365362254481,0.803277338843,0.212566781318,0.421242358077,0.340171600453,0.365782920244,0.391558604564
gmm_10 vs. hc_100,0.408346706039,0.287961573014,1.25991009495,0.0834139898075,0.290643523673,0.164778278314,0.573716662342,0.385827656181
gmm_10 vs. hc_1000,0.424936612682,0.222249266885,1.63452898185,0.012881326347,0.242603895665,0.0714665651324,0.74430430848,0.365932969326
gmm_100 vs. gmm_1000,0.653020350992,0.425222625699,3.54479343929,0.106591466505,0.529048969287,0.187622734707,0.806041791149,0.638811369903
gmm_100 vs. hc_10,0.411294650033,0.26810400888,1.19106780961,0.0586758268025,0.624601477584,0.166444304649,0.270833956077,0.377834699827
gmm_100 vs. hc_100,0.592757792839,0.570016248299,2.58811405916,0.25911764777,0.597041481639,0.272331435718,0.588504838905,0.592742425805
gmm_100 vs. hc_1000,0.622005742607,0.391284391604,3.38577823411,0.0897806189297,0.502531921168,0.162390862834,0.769883717908,0.608120698858
gmm_1000 vs. hc_10,0.421018376454,0.20383779143,1.50492661377,0.00824703441437,0.789190488595,0.0646582391889,0.224605435409,0.34968866833
gmm_1000 vs. hc_100,0.652677675629,0.422975516993,3.51751324409,0.0834995667517,0.811440790837,0.159833814348,0.524977488283,0.637507215996
gmm_1000 vs. hc_1000,0.788455140357,0.587934305855,5.29751197095,0.319477627204,0.786279751388,0.320625872096,0.790636547944,0.78845213106
hc_10 vs. hc_100,0.66325004367,0.437766678451,1.90692441878,0.13698533395,0.439900620428,0.300229088468,1.0,0.611015252285
hc_10 vs. hc_1000,0.532009408122,0.263745284898,1.90692441878,0.0115903321055,0.283034010331,0.0852379392762,1.0,0.441194867871
hc_100 vs. hc_1000,0.802124950009,0.565750292621,4.33489822525,0.146902906996,0.643404435427,0.283909662822,1.0,0.783014115767
