,In-Degree,Out-Degree,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality,Page Rank,Hubs,Authorities
Rank 1,109532,105210,102605,106514,103012,85131,108611,103355
Rank 2,107252,104616,103012,103355,101864,91573,107082,106514
Rank 3,91573,106366,101864,109380,102605,85534,109380,103243
Rank 4,106545,102224,106366,106761,106366,88661,106267,106761
Rank 5,111221,108329,101894,103243,101894,85160,108839,103347
Rank 6,102605,101864,85330,107082,106447,89675,108798,105746
Rank 7,103012,106267,106170,103347,104616,98094,109505,105751
Rank 8,103355,106548,106447,105751,106545,88804,109836,102991
Rank 9,106761,97966,103950,105746,106548,85330,149702,103870
Rank 10,85131,108221,96819,106142,85330,87010,108329,101097
